,Error
0,0.06574608826303095
1,0.07372458051451518
2,0.06669478527237044
3,0.06083383045243528
4,0.0513477922007011
5,0.04953666330380536
6,0.05203800517380448
7,0.051278613066782094
8,0.05296119891993614
9,0.058298990742104304
10,0.0682773401111207
11,0.08272099402806748
12,0.09365861936290723
13,0.11873090334950229
14,0.12467360173793665
15,0.10744033405751775
16,0.0969414820169653
17,0.11765943209236489
18,0.12492257697918842
19,0.11601670255887928
20,0.09884345224536645
21,0.11126730027796924
22,0.16279080661044784
23,0.19972114647804184
24,0.21305488092044034
25,0.23743394437265147
26,0.255007771121786
27,0.2770514430157019
28,0.2911210508807261
29,0.28057323387176036
30,0.2627521826246966
31,0.24972128344051567
32,0.22004853722831366
33,0.21117863783825797
34,0.2079231246738498
35,0.19457487701006923
36,0.1775061757993836
37,0.17177785724985942
38,0.17099147460451325
39,0.16371341356368718
40,0.15318416026846518
41,0.1169931238601495
42,0.0882696277924186
43,0.08901227358210863
44,0.09072629903382692
45,0.08155380199567387
46,0.077021509776936
47,0.07431175707009739
48,0.07312120327218244
49,0.06936579397307131
50,0.06817862040953278
51,0.06521169315058778
52,0.062267595790942556
53,0.0670799021476032
54,0.06093548502292053
55,0.06349208445633038
56,0.06616897535498566
57,0.06602009594344911
58,0.06563449309502013
59,0.06526006687373379
60,0.06443735580453933
61,0.0645562598094919
62,0.07019678879380861
63,0.08326412712547042
64,0.10013087726323576
65,0.10509678456272566
66,0.0998518830023148
67,0.08424874954784214
68,0.06892946055210647
69,0.05436333926846241
70,0.05535115311937512
71,0.050806966107684426
72,0.05133763982111843
73,0.06457710546509773
74,0.08049927578166531
75,0.10909575343155531
76,0.14168527048767998
77,0.1534760153916472
78,0.15166526407605246
79,0.15786825484952208
80,0.15527881769598487
81,0.15006687958712744
82,0.1339464004879648
83,0.14396920019440357
84,0.15010596867746231
85,0.15280204146725251
86,0.14449736969584878
87,0.15171382325828642
88,0.1502202709847247
89,0.1463020246912902
90,0.12456102362580602
91,0.10299791605714084
92,0.1035676985101978
93,0.09813890430942615
94,0.0990823432732078
95,0.09013634019832435
96,0.09176345893887024
97,0.10498530179488573
98,0.09267788635397105
99,0.09020141356987804
100,0.10411528443259524
101,0.10706763655002342
102,0.10773669313603892
103,0.1140623392989002
104,0.1199670383709035
105,0.13236884608818375
106,0.13693334627294176
107,0.1284985559230794
108,0.11300405400199161
109,0.11770431775187247
110,0.09921172893697908
111,0.08200187744650628
112,0.07455736936703122
113,0.06293136309704975
114,0.05552838019086788
115,0.03869814600535174
116,0.03688799705366045
117,0.04029756504934846
118,0.04672822793657063
119,0.05649040805091566
120,0.06645094232312604
121,0.08250881423346584
122,0.09676498473625576
123,0.09406489522681509
124,0.08581155495627905
125,0.08368732179565669
126,0.09487284315318391
127,0.10063462848959677
128,0.09766845825384093
129,0.1057073327623493
130,0.10688876245052364
131,0.11197543679294983
132,0.11225128862167738
133,0.11599536188914673
134,0.12097725160470608
135,0.12351588594467443
136,0.1279116061615302
137,0.12934740442544207
138,0.1183913296625092
139,0.1262274898336761
140,0.12986101826126298
141,0.12155040335798108
142,0.10348332874081195
143,0.10026661699709925
144,0.09029685880917501
145,0.08023848568213149
146,0.06599705643467926
147,0.06004369811831499
148,0.0616730290299286
149,0.04139717880541715
150,0.028501245163449002
151,0.028667632968777702
152,0.028689482537142718
153,0.033349152354004055
154,0.03166009157741705
155,0.034222596112261666
156,0.04220075570121909
157,0.045670947242069
158,0.044397063315862885
159,0.047234194203376996
160,0.04983876573769396
161,0.05315833040047111
162,0.05493239899012605
163,0.056903685726707724
164,0.05792605429913933
165,0.05807023867423104
166,0.05751968738704053
167,0.06219415270838323
168,0.08339946998815863
169,0.07230557028552552
170,0.06424213841271309
171,0.06894326602631198
172,0.0745922379461099
173,0.06465273584068466
174,0.06821473959432946
175,0.07846993663492943
176,0.08228118687272291
177,0.06949656084780767
178,0.0649944604837423
179,0.07333428801807962
180,0.08874875352693395
181,0.11625408642880997
182,0.12962255186689453
183,0.13690046487663762
184,0.1418794907370731
185,0.15039617031065353
186,0.1532825262639073
187,0.1326082597053369
188,0.11803850001803884
189,0.08752518977725998
190,0.06905256184648577
191,0.08084338948207025
192,0.09488492944272199
193,0.09070248454521476
194,0.08421927624090594
195,0.0717542474294922
196,0.06969759180568857
197,0.05712998176357204
198,0.05940844229956118
199,0.06825519505825034
200,0.06599313588585287
201,0.06285727684510424
202,0.05761909175319824
203,0.06035195056380574
204,0.0662641262577701
205,0.08655234770602926
206,0.09191122883341457
207,0.0866009216651504
208,0.08513635128375485
209,0.10575553008662304
210,0.11933264256708331
211,0.11717491459890585
212,0.10851803420372112
213,0.08927778309375452
214,0.08767385991784662
215,0.07446273117385145
216,0.054969264719809306
217,0.05181591347625505
218,0.06383655931227526
219,0.08467617989624356
220,0.10629630429015728
221,0.12410892648149201
222,0.11852429094023108
223,0.09929423397397011
224,0.1295829816617709
225,0.13740389360263328
226,0.11341851892634916
