Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,112.4375,116.0,111.875,116.0,73.86502075195312,10347700
2000-01-04,114.0,114.5,110.875,112.0625,71.35774993896484,8227800
2000-01-05,112.9375,119.75,112.125,116.0,73.86502075195312,12733200
2000-01-06,118.0,118.9375,113.5,114.0,72.59149169921875,7971900
2000-01-07,117.25,117.9375,110.625,113.5,72.27310943603516,11856700
2000-01-10,117.25,119.375,115.375,118.0,75.13858032226562,8540500
2000-01-11,117.875,121.125,116.625,119.0,75.77536010742188,7873300
2000-01-12,119.625,122.0,118.25,119.5,76.09373474121094,6803800
2000-01-13,119.9375,121.0,115.75,118.25,75.29776763916016,8489700
2000-01-14,120.9375,123.3125,117.5,119.625,76.17332458496094,10956600
2000-01-18,119.6875,119.75,115.0,115.75,73.70584106445312,7643900
2000-01-19,115.5625,122.0,112.6875,119.5,76.09373474121094,8634500
2000-01-20,123.0,124.75,119.0,119.0,75.77536010742188,17783400
2000-01-21,121.875,123.0,119.9375,121.5,77.36727142333984,7868700
2000-01-24,121.875,122.875,116.5625,121.5,77.36727142333984,6499200
2000-01-25,116.75,119.5,116.0,119.125,75.85491180419922,6936900
2000-01-26,119.0625,119.9375,116.0,116.75,74.34265899658203,4895100
2000-01-27,118.0,118.4375,111.625,113.5,72.27310943603516,8324600
2000-01-28,112.75,114.1875,110.0625,111.5625,71.03937530517578,6669400
2000-01-31,111.375,112.8125,109.625,112.25,71.47713470458984,6202700
2000-02-01,112.375,113.4375,109.125,110.0,70.04441833496094,7304700
2000-02-02,112.0,115.8125,110.375,113.5,72.27310943603516,7707700
2000-02-03,115.0,117.5,114.0625,117.125,74.58140563964844,6213800
2000-02-04,118.1875,118.4375,114.8125,115.625,73.62628173828125,5405300
2000-02-07,116.0,116.875,113.125,114.125,72.67109680175781,5779500
2000-02-08,116.9375,119.0,116.1875,118.8125,75.7355728149414,5464300
2000-02-09,119.0,119.75,117.0,117.375,74.81927490234375,5374700
2000-02-10,117.6875,119.125,116.875,119.125,75.9347915649414,4446600
2000-02-11,119.0625,119.4375,114.5625,115.375,73.54440307617188,5749400
2000-02-14,116.0,116.375,114.5,116.0625,73.98263549804688,4544000
2000-02-15,115.875,117.4375,113.875,117.125,74.65987396240234,5177500
2000-02-16,116.5,117.3125,115.25,115.75,73.7834243774414,3966900
2000-02-17,116.5,118.875,115.75,116.75,74.42090606689453,5237500
2000-02-18,115.25,115.9375,111.5,112.5,71.71177673339844,7673400
2000-02-22,112.0,113.4375,108.75,111.0,70.75558471679688,7654800
2000-02-23,110.5,110.5,108.5,108.75,69.32137298583984,7435300
2000-02-24,108.8125,111.0,108.1875,110.5,70.43689727783203,9112000
2000-02-25,109.875,109.875,104.9375,108.0,68.84329986572266,10312200
2000-02-28,104.625,106.5,103.9375,104.5,66.61225891113281,8479900
2000-02-29,105.5625,105.5625,100.9375,102.75,65.4967269897461,10484900
2000-03-01,102.0,105.5,100.0625,100.25,63.903133392333984,10807800
2000-03-02,100.5,105.4375,99.5,103.125,65.73578643798828,11192900
2000-03-03,107.25,110.0,106.0625,108.0,68.84329986572266,10162800
2000-03-06,109.9375,111.0,101.0,103.0625,65.69593048095703,10747400
2000-03-07,106.0,107.0,101.6875,103.0,65.6561050415039,10035100
2000-03-08,103.0,106.875,102.75,106.25,67.72777557373047,8376400
2000-03-09,106.5,108.0,104.125,108.0,68.84329986572266,6334100
2000-03-10,107.625,109.0,105.0,105.25,67.09033203125,7093200
2000-03-13,104.0,109.0,102.5,107.6875,68.64411163330078,7871000
2000-03-14,107.75,110.0,107.375,108.625,69.24169158935547,7973700
2000-03-15,107.5,108.25,106.125,107.0,68.20584106445312,5665900
2000-03-16,109.0,109.8125,107.875,109.0,69.4807357788086,6622500
2000-03-17,108.25,111.6875,107.6875,110.0,70.11817169189453,8857300
2000-03-20,110.0,113.375,109.9375,112.75,71.87109375,6563500
2000-03-21,112.8125,114.6875,111.9375,113.5,72.34919738769531,6771600
2000-03-22,114.5,115.375,113.875,114.25,72.8272705078125,6137800
2000-03-23,115.875,115.875,111.625,115.25,73.46472930908203,6492400
2000-03-24,115.375,122.25,115.0625,120.625,76.89094543457031,12125600
2000-03-27,125.0,128.25,124.625,126.875,80.87491607666016,11862900
2000-03-28,125.75,127.0,122.0625,122.5,78.08611297607422,8149600
2000-03-29,122.3125,122.4375,118.5,119.0,75.85511016845703,7312300
2000-03-30,118.875,123.0,118.6875,122.75,78.24546813964844,9158000
2000-03-31,122.625,123.75,117.0625,118.375,75.45670318603516,8015200
2000-04-03,120.0,122.375,119.4375,122.0,77.76741790771484,7715600
2000-04-04,121.5,126.9375,115.0625,121.1875,77.24952697753906,16667200
2000-04-05,120.5,125.75,119.75,125.0,79.67976379394531,8693500
2000-04-06,123.5,128.0,122.625,122.75,78.24546813964844,8887400
2000-04-07,123.5,125.6875,121.5,123.125,78.4845199584961,5380300
2000-04-10,124.75,125.375,121.5625,122.125,77.84710693359375,5507300
2000-04-11,121.625,121.625,117.8125,119.375,76.09417724609375,7738700
2000-04-12,119.625,119.625,111.6875,113.75,72.5085678100586,8885200
2000-04-13,112.5,114.3125,110.0,110.625,70.51656341552734,8236400
2000-04-14,109.8125,112.75,102.875,105.0,66.93099975585938,11782000
2000-04-17,103.875,112.25,103.3125,111.875,71.31333923339844,9969500
2000-04-18,112.25,115.125,110.0625,111.5,71.07429504394531,8205500
2000-04-19,109.75,109.75,102.8125,105.0,66.93099975585938,14674500
2000-04-20,105.0,105.25,102.0625,104.0,66.2935562133789,10633300
2000-04-24,102.0,107.1875,101.25,106.5,67.88713073730469,8523100
2000-04-25,106.5,113.0,106.4375,112.5,71.71177673339844,9576400
2000-04-26,112.5,113.9375,109.0,110.5,70.43689727783203,6182800
2000-04-27,109.5,113.125,108.6875,110.625,70.51656341552734,6317500
2000-04-28,112.0,112.6875,110.125,111.5,71.07429504394531,4888600
2000-05-01,112.5,113.1875,110.4375,112.0,71.39305114746094,4196100
2000-05-02,111.0,113.625,110.6875,111.375,70.99465942382812,4085000
2000-05-03,110.5,111.125,106.5625,108.125,68.92296600341797,5543800
2000-05-04,109.125,109.1875,107.1875,107.625,68.60425567626953,3631300
2000-05-05,106.625,109.625,106.5,107.875,68.76362609863281,4695100
2000-05-08,108.0625,110.375,107.625,109.75,70.04319763183594,4826900
2000-05-09,110.5,110.625,108.25,109.0,69.5645751953125,4864900
2000-05-10,105.5,105.6875,102.0625,103.0,65.73534393310547,10012700
2000-05-11,104.0,107.5,103.1875,104.4375,66.65275573730469,8106200
2000-05-12,103.75,105.75,103.25,104.4375,66.65275573730469,5599700
2000-05-15,104.0,104.875,102.0,104.1875,66.49317169189453,5907800
2000-05-16,105.125,109.25,105.0,109.0,69.5645751953125,7265800
2000-05-17,107.5,108.875,106.125,107.875,68.8465576171875,5524500
2000-05-18,106.125,107.3125,104.6875,106.0625,67.68981170654297,4577200
2000-05-19,106.0625,107.5,105.0,106.4375,67.92913055419922,6419200
2000-05-22,106.0,109.25,103.4375,109.25,69.72410583496094,6769400
2000-05-23,109.0,110.0,107.125,107.375,68.52747344970703,5978900
2000-05-24,106.5,110.0,104.1875,109.625,69.96344757080078,8184200
2000-05-25,110.5,112.25,106.375,106.5,67.96903228759766,5967600
2000-05-26,105.5,107.1875,104.5625,106.9375,68.24823760986328,4296900
2000-05-30,107.75,111.0,107.6875,110.9375,70.80106353759766,3617500
2000-05-31,110.5,110.75,107.1875,107.3125,68.48762512207031,3732500
2000-06-01,107.5625,108.9375,105.5,106.0,67.64993286132812,5712500
2000-06-02,109.0,109.75,107.625,108.8125,69.44493865966797,5473300
2000-06-05,108.4375,114.1875,108.4375,112.8125,71.9977035522461,7281400
2000-06-06,112.25,114.625,111.25,112.375,71.71851348876953,5369400
2000-06-07,112.5,121.75,111.5,121.0,77.22303771972656,11115500
2000-06-08,119.375,122.3125,117.5,119.75,76.42529296875,9325600
2000-06-09,119.875,120.75,118.875,119.6875,76.3853988647461,4739100
